iter	Passed	Remaining
355	680	1231
356	682	1228
357	683	1225
358	684	1222
359	686	1219
360	687	1216
361	688	1214
362	690	1211
363	691	1208
364	693	1205
365	694	1203
366	695	1200
367	697	1197
368	698	1195
369	700	1192
370	701	1190
371	703	1187
372	704	1184
373	706	1181
374	707	1179
375	708	1176
376	710	1173
377	711	1171
378	712	1168
379	714	1165
380	715	1162
381	716	1159
382	718	1156
383	719	1154
384	721	1151
385	722	1148
386	723	1146
387	724	1143
388	726	1140
389	727	1137
390	728	1135
391	730	1132
392	731	1129
393	732	1127
394	734	1124
395	735	1121
396	736	1119
397	738	1117
398	740	1114
399	741	1112
400	742	1109
401	744	1107
402	745	1104
403	747	1102
404	748	1100
405	750	1098
406	752	1095
407	753	1093
408	755	1091
409	756	1088
410	758	1086
411	759	1084
412	761	1082
413	762	1079
414	764	1077
415	765	1074
416	767	1072
417	768	1069
418	769	1067
419	771	1064
420	772	1062
421	774	1060
422	776	1058
423	777	1056
424	778	1053
425	780	1051
426	781	1049
427	783	1046
428	784	1044
429	786	1042
430	788	1040
431	789	1038
432	791	1035
433	792	1033
434	794	1031
435	795	1029
436	797	1027
437	798	1024
438	800	1022
439	801	1019
440	802	1017
441	804	1015
442	805	1012
443	807	1010
444	808	1008
445	810	1006
446	811	1003
447	813	1001
448	814	999
449	815	997
450	817	995
451	818	992
452	820	990
453	822	988
454	823	986
455	825	984
